rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
1;Walmart;$500,343;C. Douglas McMillon;President, Chief Executive Officer & Director;Retailing;General Merchandisers;Bentonville, Ark.;www.stock.walmart.com;24;2,300,000;walmart-fortune-5001;
2;Exxon Mobil;$244,363;Darren W. Woods;Chairman & Chief Executive Officer;Energy;Petroleum Refining;Irving, Texas;www.exxonmobil.com;24;71,200;exxonmobil-fortune-500;
3;Berkshire Hathaway;$242,137;Warren E. Buffett;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Omaha;www.berkshirehathaway.com;24;377,000;berkshire-hathaway-fortune-5001;
4;Apple;$229,234;Timothy D. Cook;Chairman & Chief Executive Officer;Technology;Computers, Office Equipment;Cupertino, Calif.;www.apple.com;24;123,000;apple-fortune-500;
5;UnitedHealth Group;$201,159;David S. Wichmann;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;Minnetonka, Minn.;www.unitedhealthgroup.com;24;260,000;gettyimages-516917468;
6;McKesson;$198,533;John H. Hammergren;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;San Francisco;www.mckesson.com;24;64,500;mckesson-fortune-500;
7;CVS Health;$184,765;Larry J. Merlo;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Woonsocket, R.I.;www.cvshealth.com;24;203,000;cvs-health-fortune-500;
8;Amazon.com;$177,866;Jeffrey P. Bezos;Chairman, President & Chief Executive Officer;Retailing;Internet Services and Retailing;Seattle;www.amazon.com;17;566,000;amazon-com-fortune-500;
9;AT&T;$160,546;Randall L. Stephenson;Chairman, President & Chief Executive Officer;Telecommunications;Telecommunications;Dallas;www.att.com;24;254,000;att-fortune-500;
10;General Motors;$157,311;Mary T. Barra;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Detroit;www.gm.com;24;180,000;general-motors-fortune-500;
11;Ford Motor;$156,776;James P. Hackett;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Dearborn, Mich.;www.corporate.ford.com;24;202,000;ford-motors-fortune-500;
12;AmerisourceBergen;$153,144;Steven H. Collis;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Chesterbrook, Pa.;www.amerisourcebergen.com;24;19,500;amerisourcebergen-fortune-500;
13;Chevron;$134,533;Michael K. Wirth;Chairman & Chief Executive Officer;Energy;Petroleum Refining;San Ramon, Calif.;www.chevron.com;24;51,900;chevron-fortune-500;
14;Cardinal Health;$129,976;Michael C. Kaufmann;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Dublin, Ohio;www.cardinalhealth.com;24;40,400;cardinal-health-fortune-500;
15;Costco;$129,025;W. Craig Jelinek;President, Chief Executive Officer & Director;Retailing;General Merchandisers;Issaquah, Wash.;www.costco.com;24;182,000;costco-fortune-500;
16;Verizon;$126,034;Hans E. Vestberg;Chairman & Chief Executive Officer;Telecommunications;Telecommunications;New York City;www.verizon.com;24;155,400;verizon-fortune-500;
17;Kroger;$122,662;W. Rodney McMullen;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Cincinnati;www.thekrogerco.com;24;449,000;kroger-fortune-500;
18;General Electric;$122,274;H. Lawrence Culp Jr.;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Boston;www.ge.com;24;313,000;general-electric-fortune-500;
19;Walgreens Boots Alliance;$118,214;Stefano Pessina;Vice Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Deerfield, Ill.;www.walgreensbootsalliance.com;24;290,000;walgreens-boots-alliance-fortune-500;
20;JPMorgan Chase;$113,899;James Dimon;Chairman & Chief Executive Officer;Financials;Commercial Banks;New York City;www.jpmorganchase.com;24;252,539;jpmorgan-chase-fortune-500;
21;Fannie Mae;$112,394;Timothy J. Mayopoulos;President, Chief Executive Officer & Director;Financials;Diversified Financials;Washington;www.fanniemae.com;21;7,200;fannie-mae-fortune-500;
22;Alphabet;$110,855;Larry Page;Chief Executive Officer & Director;Technology;Internet Services and Retailing;Mountain View, Calif.;www.abc.xyz;13;80,110;alphabet-fortune500;
