"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"1",1,"Walmart",500343,"C. Douglas McMillon","President, Chief Executive Officer & Director","Retailing","General Merchandisers","Bentonville, Ark.",18,249,"M",0,0.189055424472048,0.000761160944446281
"2",2,"Exxon Mobil",244363,"Darren W. Woods","Chairman & Chief Executive Officer","Energy","Petroleum Refining","Irving, Texas",18,656,"M",0,0.00271663412578571,1
"3",3,"Berkshire Hathaway",242137,"Warren E. Buffett","Chairman, President & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","Omaha",18,431,"M",0,0.0388282962980199,0.999999998338474
"4",4,"Apple",229234,"Timothy D. Cook","Chairman & Chief Executive Officer","Technology","Computers, Office Equipment","Cupertino, Calif.",18,103,"M",0,0.00271656665576583,0.99999999999798
"5",5,"UnitedHealth Group",201159,"David S. Wichmann","Chairman & Chief Executive Officer","Health Care","Health Care: Insurance and Managed Care","Minnetonka, Minn.",18,340,"M",0,0.102289186113393,0.999999999999893
"6",6,"McKesson",198533,"John H. Hammergren","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Health Care","San Francisco",18,601,"M",0,0.00168277507139602,1
"7",7,"CVS Health",184765,"Larry J. Merlo","President, Chief Executive Officer & Director","Health Care","Health Care: Pharmacy and Other Services","Woonsocket, R.I.",18,286,"M",0,0.155474538734358,0.99999776971827
"8",8,"Amazon.com",177866,"Jeffrey P. Bezos","Chairman, President & Chief Executive Officer","Retailing","Internet Services and Retailing","Seattle",10,556,"M",0,0.00161121236024503,1
"9",9,"AT&T",160546,"Randall L. Stephenson","Chairman, President & Chief Executive Officer","Telecommunications","Telecommunications","Dallas",18,331,"M",0,0.00147423469202508,1
"10",10,"General Motors",157311,"Mary T. Barra","Chairman & Chief Executive Officer","Motor Vehicles & Parts","Motor Vehicles and Parts","Detroit",18,219,"F",1,0.0539901935806452,0.999999985512768
"11",11,"Ford Motor",156776,"James P. Hackett","President, Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Dearborn, Mich.",18,285,"M",0,0.0539827034243355,0.99999998467728
"12",12,"AmerisourceBergen",153144,"Steven H. Collis","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Health Care","Chesterbrook, Pa.",18,225,"M",0,0.000862623702372387,1
"13",13,"Chevron",134533,"Michael K. Wirth","Chairman & Chief Executive Officer","Energy","Petroleum Refining","San Ramon, Calif.",18,543,"M",0,0.000723830868232064,1
"14",14,"Cardinal Health",129976,"Michael C. Kaufmann","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Health Care","Dublin, Ohio",18,477,"M",0,0.000441502890739344,1
"15",15,"Costco",129025,"W. Craig Jelinek","President, Chief Executive Officer & Director","Retailing","General Merchandisers","Issaquah, Wash.",18,220,"M",0,0.182263745129437,2.22044604925031e-16
"16",16,"Verizon",126034,"Hans E. Vestberg","Chairman & Chief Executive Officer","Telecommunications","Telecommunications","New York City",18,170,"M",0,0.00085633501549011,1
"17",17,"Kroger",122662,"W. Rodney McMullen","Chairman & Chief Executive Officer","Food & Drug Stores","Food and Drug Stores","Cincinnati",18,492,"M",0,0.000774241141992576,1
"18",18,"General Electric",122274,"H. Lawrence Culp Jr.","Chairman & Chief Executive Officer","Industrials","Industrial Machinery","Boston",18,404,"M",0,0.0376518744298101,0.999989695953146
"19",19,"Walgreens Boots Alliance",118214,"Stefano Pessina","Vice Chairman & Chief Executive Officer","Food & Drug Stores","Food and Drug Stores","Deerfield, Ill.",18,357,"M",0,0.000697176359934043,1
"20",20,"JPMorgan Chase",113899,"James Dimon","Chairman & Chief Executive Officer","Financials","Commercial Banks","New York City",18,330,"M",0,0.120797840190884,0.999858694176347
"21",21,"Fannie Mae",112394,"Timothy J. Mayopoulos","President, Chief Executive Officer & Director","Financials","Diversified Financials","Washington",15,624,"M",0,0.0564701977792143,0.999960343890055
"22",22,"Alphabet",110855,"Larry Page","Chief Executive Officer & Director","Technology","Internet Services and Retailing","Mountain View, Calif.",6,694,"M",0,0.00059499388312432,2.22044604925031e-16
